"host_species","host_phylum","host_class","host_order","host_family","host_in_gonzalos_list","diseases","has_pilot_disease","pilot_diseases","has_pilot_include_disease","pilot_include_diseases","Not_specified","PCR_Sequencing","Isolation_Observation","Antibodies","Any_PCR_Or_Observation","taxonomy_override_applied","taxonomy_override_notes","species_name","species_name_canonical","species_key","taxonomy_gap","known_non_target_class","human_domestic_or_livestock","not_pilot_include_disease","no_detection_evidence","existing_model_path","sdm_available","sdm_already_available","first_pass_eligible","eligibility_reasons","eligibility_status","taxonomy_review_needed","taxonomy_review_reason","analysis_unit_id","readiness_disease_name","disease_name","disease_is_pilot_include","species_role","sdm_needed_for_disease","sdm_species","run_status","run_priority","occurrence_method","gbif_occurrence_method","start_year","end_year","min_points","target_status","synonym_review_status","synonym_notes"
"Acomys cahirinus","Chordata","Mammalia","Rodentia","Muridae",FALSE,"Rift Valley fever; West Nile fever",TRUE,"Rift Valley fever; West Nile fever",TRUE,"Rift Valley fever; West Nile fever",0,0,0,2,0,FALSE,,"Acomys cahirinus","Acomys cahirinus","acomys cahirinus",FALSE,FALSE,FALSE,FALSE,TRUE,"/Users/arturtrebski/Coding_Projects/new_global_maxent/sdms/models/Acomys cahirinus/Acomys cahirinus.rds",FALSE,FALSE,TRUE,"no_pcr_or_observation_signal","first_pass_eligible",FALSE,,,"Rift Valley fever","Rift Valley fever",TRUE,"host","yes","Acomys cahirinus","pending",1,"gbif-download","gbif-download",2000,2026,20,"needs_host_sdm","not_audited",
"Acomys cahirinus","Chordata","Mammalia","Rodentia","Muridae",FALSE,"Rift Valley fever; West Nile fever",TRUE,"Rift Valley fever; West Nile fever",TRUE,"Rift Valley fever; West Nile fever",0,0,0,2,0,FALSE,,"Acomys cahirinus","Acomys cahirinus","acomys cahirinus",FALSE,FALSE,FALSE,FALSE,TRUE,"/Users/arturtrebski/Coding_Projects/new_global_maxent/sdms/models/Acomys cahirinus/Acomys cahirinus.rds",FALSE,FALSE,TRUE,"no_pcr_or_observation_signal","first_pass_eligible",FALSE,,,"West Nile fever","West Nile fever",TRUE,"host","yes","Acomys cahirinus","pending",2,"gbif-download","gbif-download",2000,2026,20,"needs_host_sdm","not_audited",
"Acomys dimidiatus","Chordata","Mammalia","Rodentia","Muridae",FALSE,"West Nile fever",TRUE,"West Nile fever",TRUE,"West Nile fever",0,0,0,1,0,FALSE,,"Acomys dimidiatus","Acomys dimidiatus","acomys dimidiatus",FALSE,FALSE,FALSE,FALSE,TRUE,"/Users/arturtrebski/Coding_Projects/new_global_maxent/sdms/models/Acomys dimidiatus/Acomys dimidiatus.rds",FALSE,FALSE,TRUE,"no_pcr_or_observation_signal","first_pass_eligible",FALSE,,,"West Nile fever","West Nile fever",TRUE,"host","yes","Acomys dimidiatus","pending",3,"gbif-download","gbif-download",2000,2026,20,"needs_host_sdm","not_audited",
"Aepyceros melampus","Chordata","Mammalia","Artiodactyla","Bovidae",FALSE,"Anthrax; Bluetongue; Crimean-Congo hemorrhagic fever; Lumpy skin disease; Rift Valley fever",TRUE,"Crimean-Congo hemorrhagic fever; Rift Valley fever",TRUE,"Crimean-Congo hemorrhagic fever; Rift Valley fever",1,0,1,4,1,FALSE,,"Aepyceros melampus","Aepyceros melampus","aepyceros melampus",FALSE,FALSE,FALSE,FALSE,FALSE,"/Users/arturtrebski/Coding_Projects/new_global_maxent/sdms/models/Aepyceros melampus/Aepyceros melampus.rds",FALSE,FALSE,TRUE,,"first_pass_eligible",FALSE,,,"Crimean-Congo hemorrhagic fever","Crimean-Congo hemorrhagic fever",TRUE,"host","yes","Aepyceros melampus","pending",4,"gbif-download","gbif-download",2000,2026,20,"needs_host_sdm","not_audited",
"Aepyceros melampus","Chordata","Mammalia","Artiodactyla","Bovidae",FALSE,"Anthrax; Bluetongue; Crimean-Congo hemorrhagic fever; Lumpy skin disease; Rift Valley fever",TRUE,"Crimean-Congo hemorrhagic fever; Rift Valley fever",TRUE,"Crimean-Congo hemorrhagic fever; Rift Valley fever",1,0,1,4,1,FALSE,,"Aepyceros melampus","Aepyceros melampus","aepyceros melampus",FALSE,FALSE,FALSE,FALSE,FALSE,"/Users/arturtrebski/Coding_Projects/new_global_maxent/sdms/models/Aepyceros melampus/Aepyceros melampus.rds",FALSE,FALSE,TRUE,,"first_pass_eligible",FALSE,,,"Rift Valley fever","Rift Valley fever",TRUE,"host","yes","Aepyceros melampus","pending",5,"gbif-download","gbif-download",2000,2026,20,"needs_host_sdm","not_audited",
"Aethomys kaiseri","Chordata","Mammalia","Rodentia","Muridae",FALSE,"West Nile fever",TRUE,"West Nile fever",TRUE,"West Nile fever",0,0,0,1,0,FALSE,,"Aethomys kaiseri","Aethomys kaiseri","aethomys kaiseri",FALSE,FALSE,FALSE,FALSE,TRUE,"/Users/arturtrebski/Coding_Projects/new_global_maxent/sdms/models/Aethomys kaiseri/Aethomys kaiseri.rds",FALSE,FALSE,TRUE,"no_pcr_or_observation_signal","first_pass_eligible",FALSE,,,"West Nile fever","West Nile fever",TRUE,"host","yes","Aethomys kaiseri","pending",6,"gbif-download","gbif-download",2000,2026,20,"needs_host_sdm","not_audited",
"Alcelaphus buselaphus","Chordata","Mammalia","Artiodactyla","Bovidae",FALSE,"Anthrax; Bluetongue; Crimean-Congo hemorrhagic fever",TRUE,"Crimean-Congo hemorrhagic fever",TRUE,"Crimean-Congo hemorrhagic fever",0,0,1,2,1,FALSE,,"Alcelaphus buselaphus","Alcelaphus buselaphus","alcelaphus buselaphus",FALSE,FALSE,FALSE,FALSE,FALSE,"/Users/arturtrebski/Coding_Projects/new_global_maxent/sdms/models/Alcelaphus buselaphus/Alcelaphus buselaphus.rds",FALSE,FALSE,TRUE,,"first_pass_eligible",FALSE,,,"Crimean-Congo hemorrhagic fever","Crimean-Congo hemorrhagic fever",TRUE,"host","yes","Alcelaphus buselaphus","pending",7,"gbif-download","gbif-download",2000,2026,20,"needs_host_sdm","not_audited",
"Alexandromys fortis","Chordata","Mammalia","Rodentia","Cricetidae",FALSE,"Hemorrhagic fever with renal syndrome (Hantaan virus); Tick-borne encephalitis",TRUE,"Hemorrhagic fever with renal syndrome (Hantaan virus); Tick-borne encephalitis",TRUE,"Hemorrhagic fever with renal syndrome (Hantaan virus); Tick-borne encephalitis",0,2,0,0,2,FALSE,,"Alexandromys fortis","Alexandromys fortis","alexandromys fortis",FALSE,FALSE,FALSE,FALSE,FALSE,"/Users/arturtrebski/Coding_Projects/new_global_maxent/sdms/models/Alexandromys fortis/Alexandromys fortis.rds",FALSE,FALSE,TRUE,,"first_pass_eligible",FALSE,,,"Hemorrhagic fever with renal syndrome (Hantaan virus)","Hemorrhagic fever with renal syndrome (Hantaan virus)",TRUE,"host","yes","Alexandromys fortis","pending",8,"gbif-download","gbif-download",2000,2026,20,"needs_host_sdm","not_audited",
"Alexandromys fortis","Chordata","Mammalia","Rodentia","Cricetidae",FALSE,"Hemorrhagic fever with renal syndrome (Hantaan virus); Tick-borne encephalitis",TRUE,"Hemorrhagic fever with renal syndrome (Hantaan virus); Tick-borne encephalitis",TRUE,"Hemorrhagic fever with renal syndrome (Hantaan virus); Tick-borne encephalitis",0,2,0,0,2,FALSE,,"Alexandromys fortis","Alexandromys fortis","alexandromys fortis",FALSE,FALSE,FALSE,FALSE,FALSE,"/Users/arturtrebski/Coding_Projects/new_global_maxent/sdms/models/Alexandromys fortis/Alexandromys fortis.rds",FALSE,FALSE,TRUE,,"first_pass_eligible",FALSE,,,"Tick-borne encephalitis","Tick-borne encephalitis",TRUE,"host","yes","Alexandromys fortis","pending",9,"gbif-download","gbif-download",2000,2026,20,"needs_host_sdm","not_audited",
"Alexandromys maximowiczii","Chordata","Mammalia","Rodentia","Cricetidae",FALSE,"Tick-borne encephalitis",TRUE,"Tick-borne encephalitis",TRUE,"Tick-borne encephalitis",0,2,1,0,3,FALSE,,"Alexandromys maximowiczii","Alexandromys maximowiczii","alexandromys maximowiczii",FALSE,FALSE,FALSE,FALSE,FALSE,"/Users/arturtrebski/Coding_Projects/new_global_maxent/sdms/models/Alexandromys maximowiczii/Alexandromys maximowiczii.rds",FALSE,FALSE,TRUE,,"first_pass_eligible",FALSE,,,"Tick-borne encephalitis","Tick-borne encephalitis",TRUE,"host","yes","Alexandromys maximowiczii","pending",10,"gbif-download","gbif-download",2000,2026,20,"needs_host_sdm","not_audited",
